"","word","count","mean","sd","skew","kurt","corr"
"1888","appealing",9,5635.77777777778,2218.53114570079,1.41562952076399,0.885949951951936,-0.960041345435232
"7472","however",10,43.4,14.5769986241643,0.679154735777781,-0.873304588716377,-0.959981349829012
"7667","illumination",9,1544.55555555556,536.742748230265,1.33718539717339,0.699024680795455,-0.959768929567704
"2226","award",9,4527.88888888889,2772.92699346938,1.37776785519922,0.634051352066942,-0.959643556435811
"12279","pristine",9,2741.11111111111,1815.68089462634,1.64196811582302,1.42221346631233,-0.958815047788688
"3241","cheap",9,4355.11111111111,1614.87100448027,1.19407825953269,0.430820593010754,-0.958603763448291
"10062","moreover",10,659.5,202.667351972526,1.11556289751734,-0.307066260519508,-0.958211189997011
"36337","noh",6,16193.3333333333,5979.76135532737,-0.0277774878328477,-1.90912689362463,-0.957677133638962
"11412","performance",10,70.7,35.1095112153071,0.644556948480468,-1.23027834656395,-0.957140272431331
"5181","diverse",10,2472.6,847.068041344181,0.937612679835705,-0.78909467232535,-0.956488297020816
"10805","ofet",9,5442.77777777778,3546.43196670181,1.77874463672137,1.86538907550151,-0.956118656762006
"2157","attracted",9,950.111111111111,378.867867614966,1.87935490802848,2.14437168376955,-0.954362087454641
"11563","photoactive",9,4207.77777777778,2204.55192600321,1.1664434309349,0.151200322623676,-0.953362294309769
"14698","storage",10,424.3,264.433167359921,1.19115981903225,-0.327410638583488,-0.953183588527608
"3184","chalcogenide",9,3525.77777777778,3129.54975906191,1.76285792616703,1.75604054197097,-0.952442248619777
"12272","printed",10,2233.3,1861.03448233622,1.23228516765436,-0.30231436226904,-0.952341721965856
"8305","inverted",9,3154.66666666667,1552.43059426179,1.50667209658584,1.17942390356751,-0.952130814290626
"3191","challenges",10,1042.5,329.097840905845,0.976573674765038,-0.559241189316286,-0.951631664962756
"16036","ultrasensitive",8,8791.125,3541.0429632888,1.1245475437112,0.0720196568573419,-0.951542938275511
"8810","lee",9,1951.22222222222,1148.008251035,1.41149619659933,0.951630742637465,-0.950077688886489
"25057","multimodal",6,8315,5377.05067857836,0.771295500645278,-1.14602222115928,-0.950013745686795
"11622","photonics",10,3543,1028.93504816064,0.658967653302445,-1.19162486654195,-0.948016358964127
"15792","transmittance",9,2651.44444444444,1934.17780407536,1.76094465111666,1.74511685539266,-0.947170282816791
"5496","electricity",9,3005,1555.02106095062,1.48869130605534,0.899055482606521,-0.947154033577794
"14392","specifically",10,1175.5,349.709164878474,1.09409885311513,-0.335067920360542,-0.946788708676674
"13889","setup",9,2689.88888888889,984.530782205976,0.983913715064812,-0.117295802841755,-0.945865564592105
"7780","improve",10,435.7,108.02679708706,0.63297767734845,-1.19344605401276,-0.945164739251333
"16849","yang",9,4277.55555555556,4894.25988049039,1.84992568755513,1.95132084764147,-0.944980300633451
"14660","still",10,515.8,132.765289975288,0.895812473106229,-0.0428371121710809,-0.944893844648102
"15114","synergistic",9,4018.55555555556,1018.6250673225,1.01995122046185,0.0273465179646935,-0.944339942988351
"24260","lesions",6,12561.8333333333,3028.29657838638,0.212231645188166,-1.41728090089393,-0.943802586891949
"11764","platform",10,1718.7,1556.75738850556,1.31241782087435,-0.0423736869818994,-0.943567163944286
"12056","potential",10,77.6,32.1669257329809,0.841443136803418,-0.8021571996829,-0.943409334925577
"35761","milestone",6,16260.3333333333,5220.94342687858,0.0647156217493515,-1.92916279537228,-0.943180353156932
"16784","www",6,6882.66666666667,4945.3734203462,1.29271486089395,-0.192933226233232,-0.943086772171133
"14278","solar",10,226.1,359.779701113519,1.38469527940675,0.19395581368058,-0.942987420117826
"14561","stably",9,8319.66666666667,3025.27263234241,1.70216976504324,1.67345099828489,-0.942240950782816
"13692","sciences",10,1705.1,1293.53687831293,1.43005715816412,0.728261035858583,-0.941973952965893
"3129","cells",10,98,159.047861419832,1.2849645044303,-0.313983066560373,-0.941804208534016
"5448","efficiencies",10,1177.5,564.197414228586,0.649622636282385,-1.00818424557406,-0.941425643544305
"13946","shells",9,2953.44444444444,1289.56301814909,1.69315453046701,1.75163598668516,-0.941304428886716
"8160","interestingly",9,2530.55555555556,1298.48403062101,1.94535520724977,2.27716388976048,-0.941299894273191
"10316","nanostructures",10,527.9,636.416783422799,1.29523929810187,-0.262465577317303,-0.940999946881574
"12364","promises",9,5121.88888888889,1885.16500898757,1.10670487551423,-0.0616234422456317,-0.940715400717511
"7786","improving",10,1477.3,410.537060175787,0.613387988448906,-0.834582289774928,-0.939766438046432
"5662","enables",10,941.1,330.283531395544,0.586828546593009,-0.616342698270262,-0.93973710427626
"9794","mimicking",9,5120.66666666667,1578.44417069467,1.48431584547311,1.18685070600854,-0.939512943401782
"15664","tomography",10,2900,1415.62589219987,0.955132850480407,-0.661105365257376,-0.939393571196604
"15173","tandem",9,2619.11111111111,1505.44208161959,1.57067685984551,1.06179286585681,-0.939229388046668
"11602","photogenerated",9,4741.11111111111,3862.03335189005,1.94976450992287,2.28739914930974,-0.938741241197049
"5650","employ",9,2595.77777777778,649.414308777104,1.68632556729527,1.63740707502463,-0.938705969799315
"6758","functional",10,306.2,167.986639680396,1.45156570603465,0.828533291373504,-0.937435140635964
"7521","hybrid",10,559.1,401.893145002499,1.20312541613698,-0.0925233121943334,-0.937434988322893
"11643","photovoltaic",10,694.8,632.017369662856,1.35169390861368,0.0321957930457892,-0.937057967754567
"7493","http",6,4585.66666666667,2061.86669468874,1.17854000944283,-0.418950704469528,-0.937023959248716
"13547","sacrificial",9,3240.22222222222,915.299920487511,1.23210642510038,1.02982893661184,-0.936978442970321
"4807","diagnosis",9,4899.77777777778,2817.44493192759,1.76488731952516,1.79877934711055,-0.936687340390628
"1630","allowing",10,1101.9,269.582578566692,0.505531789245579,-1.00767225872577,-0.93619270390955
"10806","offer",10,1043.4,264.199924299762,0.887005076695109,-0.465768614114578,-0.935544714481922
"17598","mater",9,1087.77777777778,1409.48348498464,1.9408587124665,2.25138988490199,-0.935501898403292
"22859","funct",8,4189,1317.34039423594,0.289737209899918,-1.68846948197784,-0.935332786571793
"6310","fei",8,7480.25,2419.87448021586,1.2174950812002,-0.17360424022089,-0.935124940513721
"7270","help",10,1423,296.883815658584,0.838136868664797,-0.918108908208566,-0.934704291702423
"5503","electrocatalytic",9,5029.11111111111,3284.80469147119,1.1877112562684,-0.0057312959528053,-0.933002024950639
"4780","devices",10,25.3,14.9670007386621,1.40427697970495,0.51298362592617,-0.93257448322114
"4714","despite",10,1249.9,360.268865648359,0.37497599031141,-1.6008754731726,-0.932459401832248
"7061","graphene",9,1809.55555555556,4233.70257904093,2.00005535553875,2.42053356916044,-0.932058802677497
"1768","anatase",9,2768.22222222222,2160.81788784813,1.35462251040957,0.703643462579202,-0.931772538028366
"7314","heterojunction",10,1200.9,439.340781423967,0.785116800953017,-1.16002171876616,-0.931743232410648
"25176","nanocarbon",6,12162,6806.89703168779,0.164037413002151,-1.93006310551622,-0.931577924708088
"15589","timescale",7,6038.14285714286,1819.41459711372,1.03316677225195,-0.424901061654684,-0.93117931862287
"11648","phys",10,683.1,1190.32735460087,1.2806660833201,-0.365038176793446,-0.930974607753912
"11765","platforms",10,3336.3,1622.75191846717,1.42881763711226,0.617878110628447,-0.930606594131609
"7911","induce",9,1288.88888888889,194.425721320794,0.682797665382248,-0.0896327184055723,-0.930050272195007
"12220","preserved",9,6199.11111111111,3487.32173180381,1.79570182894906,1.81721235222611,-0.929998369165091
"3128","cell",10,60.2,58.8742539466767,1.39520932249564,0.49232593346489,-0.929751275463459
"7363","hierarchical",9,1728.22222222222,1131.80174697004,1.88870141688123,2.15789597423484,-0.929300763444404
"15013","supported",10,434.5,193.725034233805,1.12426419057834,-0.325353190464565,-0.929293127414621
"2959","candidates",10,1220.3,418.828538240226,0.807979745958643,-0.833511893609094,-0.929215689644737
"11743","plant",9,4876.66666666667,4080.4827533026,1.58564035348005,1.16167685847669,-0.929215114147333
"20576","bioinspired",7,7513.14285714286,4562.20412478338,0.195525947570521,-1.85001974958564,-0.928638865543215
"27195","scalable",8,2229.5,989.129920687874,0.733580452227629,-0.994387748951808,-0.928594225236442
"37675","rhe",7,12431.2857142857,8521.52951283367,0.500553493753068,-1.70509460460095,-0.928442476675223
"33206","environ",6,8810.66666666667,6062.8395547521,0.480767636761691,-1.57165455115834,-0.928425751087358
"7568","hydrothermal",10,2466.7,981.647373890781,1.04039697704649,-0.550922325939467,-0.928133921044716
"16072","uncoated",9,7461.44444444444,3738.85019461569,1.46338717521923,1.09044699986381,-0.927568930589214
"12983","regenerative",9,6173.22222222222,3979.65748456377,1.25083535205974,0.37353638185604,-0.927304464782176
"8844","lett",10,1167.5,1758.96599992407,1.2881024329428,-0.330171453525263,-0.92712420361281
"35728","microraman",6,9864,6655.67207725861,0.64650403543463,-1.40718200854137,-0.926464731273097
"6423","finally",10,545.3,109.16455468695,1.02492092047896,-0.500987851645157,-0.925370860737578
"13140","replicate",9,8962.33333333333,2918.60154868732,1.08509881876897,0.0528120474810883,-0.924874528651257
"16738","work",10,45.1,24.33310502176,1.56445089715092,1.0736981461791,-0.924584024903796
"12714","raman",9,394.444444444444,129.37069906968,1.13151478104411,0.361545844519818,-0.924551108185318
"13834","sensing",10,745.4,416.359940436157,1.20219550307717,-0.246965224948215,-0.923994048740547
"13312","revealing",10,3672.8,1275.46495226033,0.784608218238887,-0.910412826171938,-0.923900139331937
"16403","versatility",9,5424.88888888889,4369.04015329581,1.84360509611672,2.01486019745048,-0.923753388531833
"13145","report",10,239.9,78.8295629824243,0.887714725359759,-0.350318528355249,-0.923470008001954
"11948","polymorphs",9,5876.44444444444,1592.29662053833,0.908930586145779,-0.356066886528354,-0.923317808087348
"13536","rutile",9,3834,2348.280062088,1.3632901157051,0.887329769339511,-0.922607943475388
"13224","resolve",10,3912,1030.8173671628,1.2501920623384,-0.101627609566777,-0.922575093176069
"6778","furthermore",10,512.2,313.351346999924,1.43931861682523,0.53514807081018,-0.92201405862865
"8894","ligands",10,1536.5,565.78779885513,1.06071246136833,-0.297025827063201,-0.921926538289745
"1222","ac02",6,5026.5,1759.869057629,0.283648081072801,-1.44580520388447,-0.921636116627923
"40336","2011",6,5732.83333333333,6592.12956233922,0.486192388724567,-1.6027192829707,-0.921603412289278
"10286","nanomaterials",9,1788.11111111111,2738.33016838933,2.03368815764759,2.51710560115572,-0.921452978998792
"5219","doi",9,4037.44444444444,2205.5215432586,0.797864776744031,-0.982740230264178,-0.92066435712949
"36172","nanotwinned",6,9897,6363.8491496892,0.891128396636353,-0.965532457335079,-0.920182828871321
"6717","friendly",10,3463.3,648.648346777958,0.558695317295431,-1.22815776140863,-0.920019185890383
"8308","investigate",10,392.3,96.5298457012706,0.361951447560563,-1.63130643813745,-0.919796986314413
"11570","photocathode",7,7928.14285714286,3383.79409482765,1.0581716247222,-0.359259260491316,-0.919766708110553
"1378","additionally",10,1221.7,459.318831411133,1.20358278968904,0.234317440454642,-0.919738548129458
"6427","finding",10,2525.4,767.19549877025,1.20922995369601,0.0529307113026904,-0.919457189331018
"16572","wang",9,2419.88888888889,2838.72116649577,1.96997269239251,2.35487928633257,-0.919080765257277
"11744","plants",9,4721,3846.81189428337,2.03461169670871,2.52386008606313,-0.918949211732608
"9292","markers",8,6014,3423.98606472465,1.39776628439577,0.543378572897563,-0.918934783944516
"3189","challenge",10,1368.5,971.766004070253,1.44328966268181,0.657409234101954,-0.918319611636891
"10314","nanostructure",10,1683.4,1428.49401663275,1.38761477386252,0.154166266421884,-0.917919153127836
"9451","memory",10,568.9,392.815605596315,1.1685501899333,-0.475395960687288,-0.917611957707123
"14259","soc",9,1601.77777777778,1455.18854257599,2.02137541769037,2.48546205302706,-0.917587948237617
"8480","jsc",9,4066.33333333333,3624.6948837109,1.9148492404838,2.21175234123427,-0.917185996878969
"3247","chem",9,903.222222222222,1567.94664910655,2.05628226087921,2.58157186826776,-0.916454410335778
"9415","mechanistic",9,4664.88888888889,2018.83620214992,0.941776607212221,-0.521880480825171,-0.916304105744075
"13638","scalability",9,4778.66666666667,4193.84963368979,1.86843284223409,2.06542614208396,-0.916119996327121
"4602","demonstrate",10,313.7,194.505669725989,1.12794572918651,0.131493518645149,-0.915468353210064
"26291","plasmonic",8,1014.375,595.407168606972,0.539490915740831,-1.50923880963011,-0.915310288339547
"9714","microscale",10,3520.5,954.567528604795,0.587061268626128,-1.07655113907008,-0.915064776940696
"15948","tunability",9,4721.22222222222,4509.49705559771,1.93876374512102,2.26255750814341,-0.915017031536425
"6739","fuel",10,531.2,454.424617877744,1.45229573893077,0.653416618880706,-0.914280324342133
"13309","rev",10,1121.2,1407.83780631467,1.43723166381673,0.347130391583425,-0.913025379991498
"7641","ieee",9,3553.88888888889,3654.1432116313,2.03139541112976,2.51629762717341,-0.912477059016367
"15425","therefore",10,267.2,68.8747655773385,0.764943934889036,-0.898332394260107,-0.912400727394182
"10014","monochromatic",9,6320.11111111111,3061.09153099203,1.80206747437856,1.85482991562139,-0.911929024651186
"14034","signaling",9,4599.22222222222,4213.72038042921,2.05586879471047,2.58065838159519,-0.911829199037621
"13690","sci",9,3075.55555555556,4733.67838237641,2.06356471472266,2.60140408981292,-0.911451531478512
"3460","co2",9,1713.22222222222,1121.69601249378,0.982767768369896,-0.0908046023662989,-0.910419053614342
"5508","electrochemistry",9,4404.77777777778,1094.48992432294,1.06226637083213,-0.362423166037483,-0.910365139371927
"12814","realizing",9,3857.33333333333,1371.43547059277,1.71484602544836,1.63001590748203,-0.910253012456248
"10664","novel",10,229.9,106.374025651629,1.33093893630921,0.67176328677701,-0.910212763287586
"14630","stem",9,1170.44444444444,704.537279196621,1.0624762395043,-0.0480862970796858,-0.909496206031886
"5214","doe",10,2258.4,981.482574702396,0.878703892451001,-0.872374084084198,-0.908423882019172
"7414","hollow",10,2391.3,921.930107015831,1.27193071773117,-0.046144468829453,-0.908423108641221
"6806","gained",9,2872.77777777778,665.429894462553,0.839152961425741,-0.489177290060655,-0.907668871269445
"16792","xanes",9,5850.55555555556,4639.42224611834,1.37028238388097,0.64631356464066,-0.90729297990159
"35944","multifrequency",6,12937.8333333333,5207.81594976883,0.316476971456084,-1.39882697999516,-0.90670990686249
"16111","understand",10,559.2,146.629389202089,0.705540244352102,-0.812862293907218,-0.906649955270491
"14325","sonication",9,7151,3614.21720431963,1.43773640034682,0.942924283774045,-0.906612712721437
"10299","nanoporous",10,2376.7,2001.20125313661,1.46806629905688,0.499003641055969,-0.906247201010899
"4230","crucial",10,1173.2,362.846095319888,0.439771407902738,-1.43544507750115,-0.905722194068262
"4603","demonstrated",10,216.4,63.4686274206924,0.479783708308165,-0.978002009485588,-0.904846315479762
"3141","center",10,768.4,201.68082594921,0.713269949539691,-0.416934463884837,-0.903669613416489
"24913","modality",8,12535.5,5436.4058242293,0.207268880029865,-1.5792151170617,-0.903353025569808
"9255","manipulate",9,3695.11111111111,1465.84919453234,1.26811053156761,0.209367802948133,-0.903214186036141
"3712","comprehensive",10,2692.4,643.975189308132,0.347481468230522,-1.44835580758602,-0.903107270077363
"3406","clinical",9,3535,3077.7311448533,1.9372829149209,2.25492516111879,-0.903001431964438
"10278","nanofibers",9,2413.88888888889,2515.78593308555,1.99055323385499,2.40506457370899,-0.902622256209861
"2150","attentions",9,6557.11111111111,2038.08730458514,0.972074222959605,-0.0435212574026393,-0.902074191651631
"23206","harvesting",8,1564.5,539.153834395024,0.666919211254658,-0.876862601653336,-0.901827424612578
"16866","yet",10,1055.4,306.479725629971,0.882815460859935,-0.464885889020437,-0.900556643949318
"15772","transistors",10,798.1,594.861225646602,1.42516823796301,0.505798893053644,-0.89981570066863
"8897","light",10,73.7,37.2351387207777,1.2920432058435,0.122846982733473,-0.899463880986386
"12059","potentially",10,1511.8,620.620800310284,1.08486203361307,-0.00913378388118868,-0.898882584548145
"6891","generates",9,3797.55555555556,1203.39863627053,1.73560065288105,1.7183266802769,-0.898880391260694
"16172","unique",10,442.7,179.986450107285,1.01921564342944,-0.254831496666648,-0.898545024698023
"9861","missing",9,7462.44444444444,3435.43200016792,0.732925500516408,-1.09155562852511,-0.89829819202409
"16722","without",10,224.7,49.7327301125169,0.65507230138268,-0.836064157882357,-0.898125401117994
"7372","highly",10,176.2,60.0477587702766,0.545527277218231,-0.965261398948306,-0.898087063563776
"12365","promising",10,443.3,477.431798503433,1.56208712031332,1.07247556591495,-0.897846542831287
"2958","candidate",10,1166.9,518.431705563359,1.27306820816967,0.345569934039933,-0.897443794545324
"1914","approaches",10,658.9,149.557458300592,0.48063242500271,-1.34557684365663,-0.897379109419425
"10454","next",10,1071,498.484592428782,1.56075535741605,0.952531493176441,-0.897212183607826
"30944","absorptance",6,11261,4614.0063285609,0.387934948136489,-1.93428018156686,-0.897122771012034
"15756","transferring",9,7019.77777777778,3703.74201915366,1.7524177444555,1.72334318745286,-0.897089642153024
"9953","modulating",9,6631,3528.92026688051,1.15102292527087,-0.376714691229333,-0.89650500333552
"1180","ability",10,454.7,126.07585899855,0.675010441195521,-1.01289784979496,-0.896246310196908
"10932","organic",10,80.3,49.1484146912865,1.22857901737761,-0.259145082764714,-0.895536951731464
"6319","femtosecond",9,4268.55555555556,3255.91661867711,1.8393518590002,2.05041068675671,-0.895390301997138
"7197","hardly",9,5917.55555555556,1224.29439996178,0.889837836467066,-0.0109881600763164,-0.895204875032586
"16402","versatile",10,2463.2,1392.47276454515,1.5117385891524,0.994222707372498,-0.8951952922904
"12363","promise",10,1723.8,577.066104435955,1.3962858963749,0.98567038428029,-0.894950924164174
"3553","collection",9,1750.44444444444,507.0670841001,1.19229955910769,0.22678081692428,-0.894041571159008
"23959","journal",8,1763.5,788.540967320568,0.590856727092504,-1.1658825839433,-0.893817242354073
"9237","managed",9,5703.66666666667,3449.21563547425,1.37881124376284,0.588757966730132,-0.893775484301957
"6185","fabricated",10,206.2,101.799148653938,1.17226782017816,-0.496640073409927,-0.89367804364649
"6586","foil",9,2627.88888888889,549.416837302163,1.35800797185165,0.766236327931745,-0.893565453703792
"10365","ncs",9,1575.22222222222,1504.74530882952,1.62632525772023,1.29752084905141,-0.893405724476868
"1895","appl",9,882.666666666667,1367.70327556821,2.0721575711565,2.62450722438623,-0.893135993450654
"14421","spectroscopy",10,106.4,38.7160604056422,0.533248291969103,-0.869177563291089,-0.892948051830588
"23291","heteroatoms",6,13517.6666666667,3970.90935009434,0.290027871792225,-1.61178476327267,-0.892814757608565
"9228","making",10,1148.6,357.500023310023,1.25229613010796,0.42696525272808,-0.892679061208071
"25314","nanosheets",8,4575.75,2987.93027983299,0.332433341832568,-1.88210097266582,-0.892385690986481
"3339","circulation",8,6790.125,2712.91390193012,0.641704599510013,-1.39312157458602,-0.892166862301823
"7762","importantly",10,2714.9,791.503133986917,1.01823073149737,0.0385967758736077,-0.891946136973933
"16113","understanding",10,240.4,108.860971477895,1.4238495875009,0.835380964146625,-0.891928799795958
"10293","nanoparticle",9,724.666666666667,1054.49596964616,2.05560325610757,2.57883461230364,-0.891863901882332
"14370","spark",9,6686.88888888889,3813.09455837527,1.44280957769474,0.94118693273114,-0.89132491810121
"8045","inside",10,809.3,212.151439621166,1.04409974294909,-0.226408986563371,-0.890966186447445
"27904","sustainable",8,3682.75,2209.27691790776,0.794310588259854,-1.27849876168359,-0.890784685623279
"5468","eis",9,5198.11111111111,2754.06524271142,1.89270037979171,2.13981009842636,-0.890446562062235
"14485","sponsored",9,3310.44444444444,2467.88705733828,1.71887498914078,1.7339874421735,-0.890431327872583
"14268","soft",10,962.3,394.794756804089,0.946298463850933,-0.881962174224546,-0.889890751919188
"5540","electronic",10,93.9,53.5006749697817,1.49204806873566,1.09548555799654,-0.889396230469016
"15121","synthesize",10,1944.5,549.324281883358,0.978595949927853,-0.424872295785917,-0.889216056907095
"7443","honeycomb",9,6226.44444444444,2953.75943126345,1.29804551297067,0.535927866087975,-0.889059984265358
"7481","hrtem",9,1994.44444444444,414.575720198105,1.1645546376268,0.233631025984415,-0.88786518642647
"11171","paradigm",9,4434.55555555556,1267.48778210197,1.0192723712714,-0.270594978598397,-0.887704147014036
"15115","synergistically",7,10262.2857142857,3734.0896130242,0.459738955782979,-1.73565101114616,-0.887608866745205
"10810","office",10,1818.8,1634.44994485063,1.6739749890463,1.66328321792659,-0.887530678724027
"7435","homogenous",9,5346.11111111111,3007.59311761267,1.874247675871,2.09387788263526,-0.887393288931167
"12446","providing",10,1273.8,303.877460682939,0.311838862602755,-1.34740846710137,-0.887345658861324
"6767","fundamental",10,513.3,115.9626855693,1.11852283754529,0.22987791993762,-0.886235093658805
"2955","can",10,2.2,1.22927259430572,0.956089091297812,0.000363321799308203,-0.886044639883934
"45615","mahg",6,5296.16666666667,3668.61491119832,0.449819195815424,-1.89311275089804,-0.885966760226705
"13918","share",10,4195.6,954.222801842188,1.0404032722292,-0.412436499371409,-0.885929159223058
"7855","increase",10,145.4,37.7276791994654,1.21602212151162,0.302103613949554,-0.885373701927073
"13075","remarkable",10,1945.1,564.88355732251,0.474977507128716,-1.14421739100399,-0.884451991250682
"6100","exploited",10,2842.6,1019.15653579048,1.34194899788587,0.16643349284142,-0.884398836201711
"13188","reservoir",9,7428.33333333333,3113.90679051252,1.82730081279109,2.04741254665771,-0.883997054416587
"46598","nonthermal",6,7510.83333333333,2481.08600549571,0.149418228764834,-1.91767820336052,-0.883838159996922
"11750","plasmons",9,3669.88888888889,2125.28059585343,1.96856356658078,2.34808397444593,-0.883549242970734
"19818","acs",8,4742,4410.95383270849,0.988286715162796,-0.66304669063886,-0.88342115566529
"13815","semiconducting",10,1243.5,712.658754243572,1.61281439976874,1.22681389076234,-0.883281867235562
"13003","regulate",9,7381.55555555556,3694.4333838598,1.15771280310622,-0.232204034549714,-0.882686420426969
"5393","easily",10,946.6,359.738238167699,1.56727309082538,1.16471487994814,-0.882620074265341
"13045","releasing",9,6640,3706.38715597818,1.40029597353121,0.63092715896733,-0.882544452406094
"7368","highest",10,1206.5,382.251880309306,0.516930117810336,-1.08863566473584,-0.882502117575666
"6741","fuels",9,2644.22222222222,1819.7349929164,1.39413757700852,0.324143573117779,-0.88213501230182
"6652","foundation",10,2293.7,826.111110363895,1.41093508596885,0.701327116724316,-0.88154689792875
"2149","attention",10,571,124.805626653787,0.667726833226837,-0.792002231999014,-0.881466657246839
"12335","programmable",9,6250.55555555556,3507.89930411034,1.71822299397649,1.70597271982889,-0.881173342042982
"15953","tuned",10,1948.2,1534.46616124306,1.62996872723503,1.28219231306076,-0.8809936049112
"10315","nanostructured",10,1308.3,1453.51834067089,1.59656751241882,1.05399672905495,-0.880336860932595
"10318","nanotechnology",9,1755.33333333333,2024.02686494029,2.04808437775255,2.55967918043445,-0.88022410108626
"13937","shed",10,4386.4,1307.46456930962,1.19290561557045,0.153798816836583,-0.879429756612376
"11248","patent",9,6695.88888888889,3533.85340119127,1.10995444536972,0.179818996039278,-0.878771384621682
"13557","safety",9,2617.44444444444,1067.38056839057,1.03464029726195,-0.527905405119604,-0.878523797739715
"11069","owing",9,1701.22222222222,410.483793156861,0.477021255618324,-1.25141026678364,-0.878323286075772
"5549","electrophoretic",9,6779.11111111111,2471.90687751604,1.02251679488479,0.330347517096997,-0.877947872727738
"27938","synaptic",6,13116.5,7544.91937001317,0.3553008314579,-1.81425111404884,-0.877706214069804
"11483","perylene",8,9744,2469.59129065057,0.809234392314692,-0.411034546709516,-0.877534893253805
"11623","photons",10,2650.8,1098.21469263123,1.21872330455624,0.0149237399468203,-0.877508104383247
"7914","induces",10,2502.9,799.51296980655,1.56644355038334,1.29800386220781,-0.877212171201779
"5724","enhance",10,828.4,410.359246406257,1.56717198596274,1.21033736530087,-0.877027624818293
"14718","strategy",10,1350.5,553.626679270427,0.736048527369348,-0.599402786560582,-0.876723528081542
"10808","offering",9,4384.11111111111,795.61963972184,0.83024336844528,-0.499370169769734,-0.876718164702873
"6207","facilitates",9,4102.55555555556,888.508738154993,0.616464786081864,-1.02674380321613,-0.876469762321356
"13469","route",10,1307.9,669.953970226479,1.65395290752828,1.43871931316109,-0.876455440720263
"26403","polysi",6,7683.83333333333,3536.6728667869,-0.0245006556173626,-2.21628139178839,-0.876340239001394
"5341","due",10,31.8,16.936482646773,1.48697032481951,1.01239213959072,-0.875866322156561
"10311","nanosized",10,3429.9,1047.79657164717,0.048345725328286,-1.54676312948933,-0.875524482187345
"5725","enhanced",10,315.2,147.753398156072,1.38768309537175,0.791322879577452,-0.87539307390459
"12811","realize",10,2221.2,1264.70433962514,1.48987230779518,0.822816825761176,-0.875149903418215
"15122","synthesized",10,338.3,157.477370508344,1.555884545383,1.02648683722109,-0.875055434389912
"7665","illuminated",9,5365.22222222222,3056.33501017877,1.82210000391817,2.01991956768142,-0.874966414076115
"11026","outstanding",10,3100.3,999.181003511265,0.531760267729507,-0.952811647385664,-0.874229726663402
"4779","device",10,63.4,26.2898374957997,0.673673120548576,-1.01519629371106,-0.874189282510084
"11621","photonic",10,1524.7,1581.72339554045,1.37812746927746,0.174154412634494,-0.873990121597183
